Date,Code,Gross_num,PctGrossVsIssuedPct_num
2025-12-23,ARU,8983436,0.19291530215868502
2025-12-23,SVL,5512415,0.257168393046787
2025-12-23,PLS,3984916,0.12372237065716449
2025-12-23,QAN,3488362,0.2305289229522558
2025-12-23,YAL,2094908,0.1586523350710859
2025-12-23,MYR,2094827,0.12103605954531985
2025-12-23,ZIP,1639254,0.1290056799395849
2025-12-23,LYC,1632015,0.16214712566786887
2025-12-23,QOR,1536212,0.11343809220671743
2025-12-23,BOE,1376212,0.33168008009109945
2025-12-23,GGP,1256548,0.1867344111943159
2025-12-23,AMC,1235603,0.1770432346252305
2025-12-23,DRO,1173448,0.12846784580530782
2025-12-23,TWE,1076519,0.13332540536957635
2025-12-23,NVA,893239,0.2147784270972196
2025-12-23,NVX,858676,0.10221435331565953
2025-12-23,PEN,830293,0.20369362133824542
2025-12-23,VUL,781712,0.1896716139852282
2025-12-23,BC8,728383,0.10018801164829735
2025-12-23,BML,671421,0.1328795181232445
2025-12-23,360,526141,0.3041324957572459
2025-12-23,PDN,510516,0.11361756259793769
2025-12-23,LKY,459790,0.1287991047287093
2025-12-23,BHYB,439843,0.6865194037648366
2025-12-23,CU6,417054,0.11210222842443292
2025-12-23,ALD,412927,0.17327879264714324
2025-12-23,BAP,379188,0.11171892608551541
2025-12-23,EOS,372503,0.19305465031505048
2025-12-23,CAT,358527,0.1167453055054151
2025-12-23,FLOT,353941,0.9677203005868452
2025-12-23,CSC,346102,0.17548829462571192
2025-12-23,SLX,296628,0.10670945539746543
2025-12-23,MYX,277046,0.34099720592418853
2025-12-23,MQAE,230292,0.33960151664257127
2025-12-23,MP1,202480,0.11404537702662107
2025-12-23,TLS,5275234,0.04687039893731801
2025-12-23,VCX,3140467,0.06827546120257022
2025-12-23,S32,2830206,0.06301882869218653
2025-12-23,LTR,2494044,0.08484152621364642
2025-12-23,SIG,2367754,0.020511217532523114
2025-12-23,RSG,2007292,0.09425251245939202
2025-12-23,LOT,1975586,0.07270266739236828
2025-12-23,INR,1940157,0.07253915979501639
2025-12-23,CXO,1805539,0.06786424264812245
2025-12-23,WBC,1412105,0.04128535487651911
2025-12-23,EDV,1411998,0.07863105268418134
2025-12-23,NIC,1397709,0.03219833326839918
2025-12-23,BPT,1380420,0.06050934269826948
