Code,Sector,Source
29M,Unknown,unknown
360,Unknown,unknown
3DA,Unknown,unknown
4DX,Unknown,unknown
88E,Unknown,unknown
A1M,Unknown,unknown
A1N,Unknown,unknown
A2M,Unknown,unknown
A4N,Unknown,unknown
AAA,Unknown,unknown
AAC,Unknown,unknown
AAI,Unknown,unknown
AAR,Unknown,unknown
ABB,Unknown,unknown
ABG,Unknown,unknown
ABY,Unknown,unknown
ACF,Unknown,unknown
ACL,Unknown,unknown
AD8,Unknown,unknown
ADH,Unknown,unknown
ADT,Unknown,unknown
AEE,Unknown,unknown
AEF,Unknown,unknown
AEL,Unknown,unknown
AFG,Unknown,unknown
AGE,Unknown,unknown
AGI,Unknown,unknown
AGL,Unknown,unknown
AGY,Unknown,unknown
AHI,Unknown,unknown
AIA,Unknown,unknown
AIS,Unknown,unknown
AIZ,Unknown,unknown
AL3,Unknown,unknown
ALA,Unknown,unknown
ALC,Unknown,unknown
ALD,Unknown,unknown
ALK,Unknown,unknown
ALL,Consumer Discretionary,override
ALQ,Unknown,unknown
ALX,Unknown,unknown
AMA,Unknown,unknown
AMC,Unknown,unknown
AMD,Unknown,unknown
AMI,Unknown,unknown
AMP,Unknown,unknown
ANN,Unknown,unknown
ANZ,Financials,override
AOV,Unknown,unknown
APA,Unknown,unknown
APE,Unknown,unknown
APX,Unknown,unknown
AQZ,Unknown,unknown
ARB,Unknown,unknown
ARF,Unknown,unknown
ARG,Unknown,unknown
ARR,Unknown,unknown
ART,Unknown,unknown
ARU,Unknown,unknown
ARX,Unknown,unknown
ASB,Unknown,unknown
ASG,Unknown,unknown
ASK,Unknown,unknown
ASL,Unknown,unknown
ASM,Unknown,unknown
ASN,Unknown,unknown
ASX,Unknown,unknown
ATC,Unknown,unknown
ATG,Unknown,unknown
ATH,Unknown,unknown
ATX,Unknown,unknown
AUB,Unknown,unknown
AUC,Unknown,unknown
AVH,Unknown,unknown
AVL,Unknown,unknown
AW1,Unknown,unknown
AWJ,Unknown,unknown
AX1,Unknown,unknown
AXE,Unknown,unknown
AYA,Unknown,unknown
AZJ,Unknown,unknown
BAP,Unknown,unknown
BBN,Unknown,unknown
BBT,Unknown,unknown
BC8,Unknown,unknown
BCB,Unknown,unknown
BCI,Unknown,unknown
BDM,Unknown,unknown
BEN,Unknown,unknown
BET,Unknown,unknown
BGA,Unknown,unknown
BGD,Unknown,unknown
BGL,Unknown,unknown
BHP,Materials,override
BIO,Unknown,unknown
BKI,Unknown,unknown
BKT,Unknown,unknown
BKW,Unknown,unknown
BLX,Unknown,unknown
BMN,Unknown,unknown
BOE,Unknown,unknown
BOQ,Unknown,unknown
BOT,Unknown,unknown
BPT,Unknown,unknown
BRE,Unknown,unknown
BRG,Unknown,unknown
BRN,Unknown,unknown
BRX,Unknown,unknown
BSL,Unknown,unknown
BSX,Unknown,unknown
BTL,Unknown,unknown
BTR,Unknown,unknown
BVS,Unknown,unknown
BWN,Unknown,unknown
BWP,Unknown,unknown
BXB,Unknown,unknown
C79,Unknown,unknown
CAR,Unknown,unknown
CAT,Unknown,unknown
CAY,Unknown,unknown
CBA,Financials,override
CBO,Unknown,unknown
CCM,Unknown,unknown
CCP,Unknown,unknown
CCV,Unknown,unknown
CCX,Unknown,unknown
CDA,Unknown,unknown
CDP,Unknown,unknown
CEH,Unknown,unknown
CEN,Unknown,unknown
CGF,Unknown,unknown
CHC,Unknown,unknown
CHL,Unknown,unknown
CHN,Unknown,unknown
CIA,Unknown,unknown
CIP,Unknown,unknown
CKF,Unknown,unknown
CLV,Unknown,unknown
CLW,Unknown,unknown
CMM,Unknown,unknown
CMW,Unknown,unknown
CNB,Unknown,unknown
CNI,Unknown,unknown
CNQ,Unknown,unknown
CNU,Unknown,unknown
COF,Unknown,unknown
COG,Unknown,unknown
COH,Unknown,unknown
COI,Unknown,unknown
COL,Consumer Staples,override
CPU,Unknown,unknown
CPV,Unknown,unknown
CQE,Unknown,unknown
CQR,Unknown,unknown
CRD,Unknown,unknown
CRN,Unknown,unknown
CSC,Unknown,unknown
CSL,Health Care,override
CST,Unknown,unknown
CTD,Unknown,unknown
CTM,Unknown,unknown
CTT,Unknown,unknown
CU6,Unknown,unknown
CUV,Unknown,unknown
CVC,Unknown,unknown
CVN,Unknown,unknown
CVV,Unknown,unknown
CWP,Unknown,unknown
CWY,Unknown,unknown
CXL,Unknown,unknown
CXO,Unknown,unknown
CYC,Unknown,unknown
CYL,Unknown,unknown
DACE,Unknown,unknown
DAVA,Unknown,unknown
DBI,Unknown,unknown
DDR,Unknown,unknown
DEV,Unknown,unknown
DGL,Unknown,unknown
DGT,Unknown,unknown
DLI,Unknown,unknown
DMP,Unknown,unknown
DNL,Unknown,unknown
DOW,Unknown,unknown
DRO,Unknown,unknown
DRR,Unknown,unknown
DTL,Unknown,unknown
DTR,Unknown,unknown
DTZ,Unknown,unknown
DUB,Unknown,unknown
DUG,Unknown,unknown
DUR,Unknown,unknown
DVP,Unknown,unknown
DXB,Unknown,unknown
DXI,Unknown,unknown
DXN,Unknown,unknown
DXS,Unknown,unknown
DYL,Unknown,unknown
EBO,Unknown,unknown
ECF,Unknown,unknown
EDV,Unknown,unknown
EFE,Unknown,unknown
EGG,Unknown,unknown
EGR,Unknown,unknown
EHL,Unknown,unknown
EIQ,Unknown,unknown
EL8,Unknown,unknown
ELD,Unknown,unknown
ELS,Unknown,unknown
EML,Unknown,unknown
EMR,Unknown,unknown
ENL,Unknown,unknown
ENR,Unknown,unknown
EOL,Unknown,unknown
EOS,Unknown,unknown
EQR,Unknown,unknown
EQT,Unknown,unknown
EUR,Unknown,unknown
EVN,Unknown,unknown
EVO,Unknown,unknown
EVT,Unknown,unknown
EWC,Unknown,unknown
EXP,Unknown,unknown
EXR,Unknown,unknown
FAL,Unknown,unknown
FBM,Unknown,unknown
FBU,Unknown,unknown
FCL,Unknown,unknown
FDV,Unknown,unknown
FEX,Unknown,unknown
FFG,Unknown,unknown
FFM,Unknown,unknown
FLT,Unknown,unknown
FMG,Materials,override
FND,Unknown,unknown
FPH,Unknown,unknown
FPR,Unknown,unknown
FRS,Unknown,unknown
GCI,Unknown,unknown
GDG,Unknown,unknown
GDI,Unknown,unknown
GDX,Unknown,unknown
GEM,Unknown,unknown
GG8,Unknown,unknown
GGP,Unknown,unknown
GHM,Unknown,unknown
GHY,Unknown,unknown
GLN,Unknown,unknown
GMD,Unknown,unknown
GMG,Real Estate,override
GML,Unknown,unknown
GNC,Unknown,unknown
GOLD,Unknown,unknown
GOR,Unknown,unknown
GOZ,Unknown,unknown
GPR,Unknown,unknown
GPT,Unknown,unknown
GQG,Unknown,unknown
GRR,Unknown,unknown
GSBI28,Unknown,unknown
GSBI30,Unknown,unknown
GSBI32,Unknown,unknown
GSBK31,Unknown,unknown
GSBK35,Unknown,unknown
GSBK39,Unknown,unknown
GSBK54,Unknown,unknown
GSBQ26,Unknown,unknown
GSBU27,Unknown,unknown
GSBU28,Unknown,unknown
GSBU29,Unknown,unknown
GSBU32,Unknown,unknown
GSBU33,Unknown,unknown
GSBW30,Unknown,unknown
GSBW34,Unknown,unknown
GT1,Unknown,unknown
GTK,Unknown,unknown
GWA,Unknown,unknown
GYG,Unknown,unknown
HAS,Unknown,unknown
HCW,Unknown,unknown
HDN,Unknown,unknown
HGO,Unknown,unknown
HLI,Unknown,unknown
HLO,Unknown,unknown
HLS,Unknown,unknown
HMC,Unknown,unknown
HPG,Unknown,unknown
HSN,Unknown,unknown
HUB,Unknown,unknown
HUM,Unknown,unknown
HVN,Unknown,unknown
HZN,Unknown,unknown
IAG,Unknown,unknown
IDX,Unknown,unknown
IEL,Unknown,unknown
IFL,Unknown,unknown
IFM,Unknown,unknown
IFT,Unknown,unknown
IGO,Unknown,unknown
ILU,Unknown,unknown
IMB,Unknown,unknown
IMD,Unknown,unknown
IME,Unknown,unknown
IMM,Unknown,unknown
IMR,Unknown,unknown
IMU,Unknown,unknown
INA,Unknown,unknown
ING,Unknown,unknown
INR,Unknown,unknown
IOO,Unknown,unknown
IOZ,Unknown,unknown
IPD,Unknown,unknown
IPG,Unknown,unknown
IPH,Unknown,unknown
IPX,Unknown,unknown
IRE,Unknown,unknown
IRI,Unknown,unknown
JBH,Unknown,unknown
JDO,Unknown,unknown
JEGA,Unknown,unknown
JHX,Unknown,unknown
JIN,Unknown,unknown
JLG,Unknown,unknown
JMS,Unknown,unknown
JNO,Unknown,unknown
JNS,Unknown,unknown
KAR,Unknown,unknown
KCN,Unknown,unknown
KGN,Unknown,unknown
KKC,Unknown,unknown
KLS,Unknown,unknown
KMD,Unknown,unknown
KNB,Unknown,unknown
KNI,Unknown,unknown
KPG,Unknown,unknown
KSL,Unknown,unknown
LFG,Unknown,unknown
LIC,Unknown,unknown
LIN,Unknown,unknown
LIS,Unknown,unknown
LKE,Unknown,unknown
LKY,Unknown,unknown
LLC,Unknown,unknown
LLL,Unknown,unknown
LNW,Unknown,unknown
LOT,Unknown,unknown
LOV,Unknown,unknown
LPD,Unknown,unknown
LRV,Unknown,unknown
LSA,Unknown,unknown
LTP,Unknown,unknown
LTR,Materials,override
LYC,Unknown,unknown
M7T,Unknown,unknown
MAC,Unknown,unknown
MAD,Unknown,unknown
MAF,Unknown,unknown
MAH,Unknown,unknown
MAQ,Unknown,unknown
MCP,Unknown,unknown
MCY,Unknown,unknown
MDR,Unknown,unknown
MEI,Unknown,unknown
MEK,Unknown,unknown
MEZ,Unknown,unknown
MFG,Unknown,unknown
MGH,Unknown,unknown
MGR,Unknown,unknown
MGX,Unknown,unknown
MI6,Unknown,unknown
MIN,Unknown,unknown
MKR,Unknown,unknown
MLX,Unknown,unknown
MME,Unknown,unknown
MMS,Unknown,unknown
MND,Unknown,unknown
MNRS,Unknown,unknown
MP1,Unknown,unknown
MPK,Unknown,unknown
MPL,Unknown,unknown
MPW,Unknown,unknown
MQG,Financials,override
MSB,Unknown,unknown
MTH,Unknown,unknown
MTL,Unknown,unknown
MTS,Unknown,unknown
MVF,Unknown,unknown
MVP,Unknown,unknown
MYR,Unknown,unknown
MYS,Unknown,unknown
MYX,Unknown,unknown
NAB,Financials,override
NAN,Unknown,unknown
NCK,Unknown,unknown
NEC,Unknown,unknown
NEM,Unknown,unknown
NEU,Unknown,unknown
NGI,Unknown,unknown
NGX,Unknown,unknown
NHC,Unknown,unknown
NHF,Unknown,unknown
NIC,Unknown,unknown
NMT,Unknown,unknown
NSR,Unknown,unknown
NST,Unknown,unknown
NTU,Unknown,unknown
NUF,Unknown,unknown
NVU,Unknown,unknown
NVX,Unknown,unknown
NWH,Unknown,unknown
NWL,Unknown,unknown
NWS,Unknown,unknown
NXG,Unknown,unknown
NXL,Unknown,unknown
NXT,Unknown,unknown
NZM,Unknown,unknown
OBL,Unknown,unknown
OBM,Unknown,unknown
OCC,Unknown,unknown
OCL,Unknown,unknown
ODE,Unknown,unknown
OEC,Unknown,unknown
OFX,Unknown,unknown
OML,Unknown,unknown
ONE,Unknown,unknown
OPT,Unknown,unknown
ORA,Unknown,unknown
ORD,Unknown,unknown
ORG,Unknown,unknown
ORI,Unknown,unknown
PAC,Unknown,unknown
PAR,Unknown,unknown
PBH,Unknown,unknown
PCL,Unknown,unknown
PDI,Unknown,unknown
PDN,Unknown,unknown
PEB,Unknown,unknown
PEN,Unknown,unknown
PET,Unknown,unknown
PFP,Unknown,unknown
PGC,Unknown,unknown
PIQ,Unknown,unknown
PLS,Materials,override
PLY,Unknown,unknown
PME,Unknown,unknown
PMT,Unknown,unknown
PMV,Unknown,unknown
PNI,Unknown,unknown
PNR,Unknown,unknown
PNV,Unknown,unknown
POD,Unknown,unknown
PPC,Unknown,unknown
PPE,Unknown,unknown
PPK,Unknown,unknown
PPM,Unknown,unknown
PPS,Unknown,unknown
PPT,Unknown,unknown
PRN,Unknown,unknown
PRU,Unknown,unknown
PSQ,Unknown,unknown
PTM,Unknown,unknown
PWH,Unknown,unknown
PWR,Unknown,unknown
PXA,Unknown,unknown
PYC,Unknown,unknown
QAL,Unknown,unknown
QAN,Unknown,unknown
QBE,Unknown,unknown
QOR,Unknown,unknown
QRI,Unknown,unknown
QUB,Unknown,unknown
RAC,Unknown,unknown
RAD,Unknown,unknown
RAG,Unknown,unknown
RAS,Unknown,unknown
RCE,Unknown,unknown
RDM,Unknown,unknown
RDX,Unknown,unknown
RDY,Unknown,unknown
REA,Communication Services,override
REG,Unknown,unknown
REH,Unknown,unknown
RFF,Unknown,unknown
RFG,Unknown,unknown
RGL,Unknown,unknown
RGN,Unknown,unknown
RHC,Unknown,unknown
RHI,Unknown,unknown
RIC,Unknown,unknown
RIO,Materials,override
RMD,Health Care,override
RMS,Unknown,unknown
RMY,Unknown,unknown
RNU,Unknown,unknown
RPL,Unknown,unknown
RRL,Unknown,unknown
RSG,Unknown,unknown
RUL,Unknown,unknown
RWC,Unknown,unknown
RYZ,Unknown,unknown
S32,Unknown,unknown
SBM,Unknown,unknown
SCG,Unknown,unknown
SCP,Unknown,unknown
SDF,Unknown,unknown
SDR,Unknown,unknown
SEK,Unknown,unknown
SFR,Unknown,unknown
SGH,Unknown,unknown
SGI,Unknown,unknown
SGM,Unknown,unknown
SGP,Unknown,unknown
SGR,Unknown,unknown
SHA,Unknown,unknown
SHL,Unknown,unknown
SHV,Unknown,unknown
SIG,Unknown,unknown
SIQ,Unknown,unknown
SKC,Unknown,unknown
SKT,Unknown,unknown
SLC,Unknown,unknown
SLX,Unknown,unknown
SMI,Unknown,unknown
SMR,Unknown,unknown
SNL,Unknown,unknown
